Index;I/O;Module type;Module;Channel;Min Source;Max Source;Min Dest;Max Dest;ModbusChannel
0;0;0;Mod1;/ai0;4.0;20.0;0;65535;1
1;0;0;Mod1;/ai1;4.0;20.0;0;65535;2
